,tsne_0,tsne_1,markers,datasets,perts
37,-47.683384,23.473495,Reference,cdk8,[c*]c1cnn(C)c1.[N*]C1CC1~[N*]C.[c*]OC.[c*]OC
38,16.679304,-54.89671,Reference,cdk8,[c*]C(=O)NC1CC1~[c*]N1CCCC1=O
39,-6.6485844,43.713314,Reference,cdk8,[c*]c1cnn(C)c1.[N*]C1CC1~[N*]C.[c*]:n(C)nc:[2*]
40,11.495002,54.626842,Reference,cdk8,[c*]C(=O)NC1CC1~[c*]S(=O)(=O)NC1CC1
41,-13.635846,-16.500277,Reference,cdk8,[c*]C(=O)NC1CC1~[c*]c1cn(C)cn1
42,-13.152413,24.910149,Reference,cdk8,[C*]NC1CC1~[C*]N1CCCC1
43,0.9000819,-25.33682,Reference,cdk8,[C*]NC1CC1~[C*]N1CC(F)(F)C1
44,-16.232931,26.384907,Reference,cdk8,[C*]NC1CC1~[C*]N1CCOCC1
45,-10.019567,-16.150833,Reference,cdk8,[c*]C(=O)NC1CC1~[c*]c1nccn1C
46,1.4372356,-24.534933,Reference,cdk8,[C*]NC1CC1~[C*]N1CCC(F)(F)C1
47,-62.794834,46.637535,Reference,cdk8,[c*]C(=O)NC1CC1~[c*]NCCNC(C)=O
48,-3.907534,34.055496,Reference,cdk8,[C*]NC1CC1~[C*]N1CC[C@@H](O)C1
49,-19.7325,-7.062219,Reference,cdk8,[c*]C(=O)NC1CC1~[c*]c1cc(N)ccn1
50,40.68291,-12.779064,Reference,cdk8,[N*]C1CC1~[N*]C
51,-13.764641,-2.5185306,Reference,cdk8,[N*]CCNCC[2*]~[N*]CC(O)C[2*]
52,-13.135609,-2.0265281,Reference,cdk8,[N*]CCNCC[2*]~[N*]CC[C@H](O)C[2*]
53,-61.295097,41.65335,Reference,cdk8,[c*]C(=O)N1CCNCC1~[c*]NC(C)=O
54,13.342617,50.7841,Reference,cdk8,[c*]C(=O)N1CCNCC1~[c*]NS(C)(=O)=O
55,-23.941998,-24.8518,Reference,cdk8,[N*]CCNCC[2*]~[N*]CCCCC[2*]
56,-38.51556,15.451402,Reference,cdk8,[N*]CCNCC[2*]~[N*]CC(C[2*])OC
57,-16.232931,26.384907,Reference,cdk8,[c*]C(=O)N1CCNCC1~[c*]N1CCOCC1
58,13.044965,-24.626724,Reference,cdk8,[C*]N1CCNCC1~[C*]NC.[C*]C(C)(C)O
59,16.679325,-54.89688,Reference,cdk8,[c*]C(=O)N1CCNCC1~[c*]N1CCCC1=O
60,-3.802954,38.589138,Reference,cdk8,[c*]c1cnn(C)c1.[N*]CCNCC[3*]~[c*]:cnn(:[2*])C.[c*]CC(C[4*])OC
61,11.495002,54.626854,Reference,cdk8,[c*]C(=O)N1CCNCC1~[c*]S(=O)(=O)NC1CC1
62,-13.635763,-16.500294,Reference,cdk8,[c*]C(=O)N1CCNCC1~[c*]c1cn(C)cn1
63,-23.909134,-24.834772,Reference,cdk8,[N*]CCNCC[2*]~[N*]CCCC[2*]
64,-25.136332,1.5520099,Reference,cdk8,[N*]CCNCC[2*]~[N*]CC(F)(F)C[2*]
65,-37.61048,-6.1024594,Reference,cdk8,[N*]CCNCC[2*]~[N*]CCOCC[2*]
66,-10.019563,-16.150835,Reference,cdk8,[c*]C(=O)N1CCNCC1~[c*]c1nccn1C
67,-25.844107,1.0395434,Reference,cdk8,[N*]CCNCC[2*]~[N*]CCC(F)(F)C[2*]
68,-62.794834,46.637535,Reference,cdk8,[c*]C(=O)N1CCNCC1~[c*]NCCNC(C)=O
69,-14.143437,-2.8237364,Reference,cdk8,[N*]CCNCC[2*]~[N*]C[C@H](O)CC[2*]
70,-19.7325,-7.062219,Reference,cdk8,[c*]C(=O)N1CCNCC1~[c*]c1cc(N)ccn1
71,21.368969,17.407415,Reference,cdk8,[C*]N1CCNCC1~[C*]NC
72,21.368969,17.407415,Reference,cdk8,[C*]N1CC(O)C1~[C*]NC
73,-18.293365,-14.095626,Reference,cdk8,[c*]:cnn(:[2*])C~[c*]c1cnn(C)c1
74,-18.298437,-14.07366,Reference,cdk8,[c*]:cnn(:[2*])C~[c*]c1cnn(C)c1.[O*]C
75,21.207016,17.755556,Reference,cdk8,[C*]N1CC(O)C1.[c*]:cnn(:[2*])C~[C*]NC.[c*]C
76,-7.6448684,44.068127,Reference,cdk8,[C*]N1CC(O)C1.[c*]:cnn(:[2*])C~[C*]NC.[c*]:n(C)nc:[2*]
77,46.907833,17.809645,Reference,cdk8,~[O*]C
78,-24.14271,1.5983553,Reference,cdk8,[N*]CC(O)C[2*]~[N*]CC(F)(F)CC[2*]
79,-17.628096,-13.517588,Reference,cdk8,[c*]C(=O)N1CC(O)C1.[c*]:cnn(:[3*])C~[c*]S(=O)(=O)NC1CC1.[c*]c1cnn(C)c1
80,-18.825401,-14.567426,Reference,cdk8,[c*]:cnn(:[2*])C.[c*]CC(O)C[4*]~[c*]c1cnn(C)c1.[N*]CCCC[3*]
81,-18.295967,-14.085461,Reference,cdk8,[c*]:cnn(:[2*])C.[c*]O~[c*]c1cnn(C)c1.[C*]F.[C*]F
82,-18.887453,-13.159954,Reference,cdk8,[c*]C(=O)N1CC(O)C1.[c*]:cnn(:[3*])C~[c*]NCCNC(C)=O.[c*]c1cnn(C)c1
83,-19.60519,-8.01037,Reference,cdk8,[c*]C(=O)N1CC(O)C1.[c*]:cnn(:[3*])C~[c*]c1cc(N)ccn1.[c*]c1cnn(C)c1
84,-14.143308,-2.8237393,Reference,cdk8,[N*]CC(O)C[2*]~[N*]C[C@@H](O)CC[2*]
85,37.99143,-28.869707,Reference,cdk8,[C*]c1ccc2c(cnn2C)c1~[C*]C(C)C
86,-18.631495,-13.5274315,Reference,cdk8,[c*]C(=O)NC.[c*]:cnn(:[3*])C~[c*]NC(C)=O.[c*]c1cnn(C)c1
87,-17.797495,-14.555936,Reference,cdk8,[c*]:cnn(:[2*])C~[c*]c1cnn(CC(C)(C)O)c1
88,-5.105108,-34.691135,Reference,cdk8,[c*]:cnn(:[2*])C~[c*]C
89,-44.94486,17.381735,Reference,cdk8,[c*]:cnn(:[2*])C~[c*]OC.[c*]OC
90,-7.1108146,43.840054,Reference,cdk8,[c*]:cnn(:[2*])C~[c*]:n(C)nc:[2*]
91,-44.05748,23.296818,Reference,cdk8,[C*]NC~[C*]N1CC(OC)C1
92,1.4372351,-24.534962,Reference,cdk8,[C*]NC~[C*]N1CCC(F)(F)C1
93,-3.907534,34.055496,Reference,cdk8,[C*]NC~[C*]N1CC[C@H](O)C1
94,-18.293367,-14.095583,Reference,cdk8,[c*]:cnn(:[2*])C~[c*]c1cnn(C)c1
95,-14.143437,-2.8237364,Reference,cdk8,[N*]CC(O)C[2*]~[N*]C[C@@H](O)CC[2*]
96,-61.29548,41.652905,Reference,cdk8,[c*]C(=O)N1CC(O)C1~[c*]NC(C)=O
97,13.342243,50.784134,Reference,cdk8,[c*]C(=O)N1CC(O)C1~[c*]NS(C)(=O)=O
98,-23.941998,-24.8518,Reference,cdk8,[N*]CC(O)C[2*]~[N*]CCCCC[2*]
99,46.92184,17.805607,Reference,cdk8,~[O*]C
100,-16.232931,26.384907,Reference,cdk8,[c*]C(=O)N1CC(O)C1~[c*]N1CCOCC1
101,13.0475235,-24.618364,Reference,cdk8,[C*]N1CC(O)C1~[C*]NC.[C*]C(C)(C)O
102,16.679329,-54.89672,Reference,cdk8,[c*]C(=O)N1CC(O)C1~[c*]N1CCCC1=O
103,-5.29203,38.63358,Reference,cdk8,[c*]c1cnn(C)c1~[c*]:cnn(:[2*])C.[c*]C
104,11.495002,54.626854,Reference,cdk8,[c*]C(=O)N1CC(O)C1~[c*]S(=O)(=O)NC1CC1
105,-13.635846,-16.500277,Reference,cdk8,[c*]C(=O)N1CC(O)C1~[c*]c1cn(C)cn1
106,-23.909466,-24.83443,Reference,cdk8,[N*]CC(O)C[2*]~[N*]CCCC[2*]
107,21.694227,-7.8293304,Reference,cdk8,[C*]O~[C*]F.[C*]F
108,-37.610497,-6.1024566,Reference,cdk8,[N*]CC(O)C[2*]~[N*]CCOCC[2*]
109,-10.019547,-16.15082,Reference,cdk8,[c*]C(=O)N1CC(O)C1~[c*]c1nccn1C
110,-24.14271,1.5983553,Reference,cdk8,[N*]CC(O)C[2*]~[N*]CC(F)(F)CC[2*]
111,-62.79465,46.63717,Reference,cdk8,[c*]C(=O)N1CC(O)C1~[c*]NCCNC(C)=O
112,-14.143437,-2.8237364,Reference,cdk8,[N*]CC(O)C[2*]~[N*]C[C@H](O)CC[2*]
113,-19.7325,-7.062217,Reference,cdk8,[c*]C(=O)N1CC(O)C1~[c*]c1cc(N)ccn1
114,21.369598,17.407213,Reference,cdk8,[C*]N1CC(O)C1~[C*]NC
115,-31.532455,17.308033,Reference,cdk8,[C*]C(C)C~[C*]c1cccc(C)c1
116,-31.982876,16.985533,Reference,cdk8,[C*]C(C)C~[C*]c1ccc(OC)c(OC)c1
117,-31.51176,16.990128,Reference,cdk8,[C*]C(C)C~[C*]c1ccc2cnn(C)c2c1
118,-61.295097,41.65335,Reference,cdk8,[c*]C(=O)N1CC[C@H](O)C1~[c*]NC(C)=O
119,13.342616,50.783882,Reference,cdk8,[c*]C(=O)N1CC[C@H](O)C1~[c*]NS(C)(=O)=O
120,-23.941948,-24.85137,Reference,cdk8,[N*]C[C@@H](O)CC[2*]~[N*]CCCCC[2*]
121,-38.51556,15.451402,Reference,cdk8,[N*]C[C@@H](O)CC[2*]~[N*]CC(C[2*])OC
122,-16.232931,26.384907,Reference,cdk8,[c*]C(=O)N1CC[C@H](O)C1~[c*]N1CCOCC1
123,2.8420877,-74.711845,Reference,cdk8,[c*]c1cnn(C)c1~[c*]O.[c*]C
124,13.047493,-24.618105,Reference,cdk8,[C*]N1CC[C@H](O)C1~[C*]NC.[C*]C(C)(C)O
125,16.679426,-54.89733,Reference,cdk8,[c*]C(=O)N1CC[C@H](O)C1~[c*]N1CCCC1=O
126,-5.308737,38.63888,Reference,cdk8,[c*]c1cnn(C)c1.[CH*]O~[c*]:cnn(:[2*])C.[c*]F.[C*]F
127,11.495002,54.626842,Reference,cdk8,[c*]C(=O)N1CC[C@H](O)C1~[c*]S(=O)(=O)NC1CC1
128,-13.635734,-16.500277,Reference,cdk8,[c*]C(=O)N1CC[C@H](O)C1~[c*]c1cn(C)cn1
129,-1.9871653,5.5385003,Reference,cdk8,[CH*]O~
130,-25.135868,1.5520045,Reference,cdk8,[N*]C[C@@H](O)CC[2*]~[N*]CC(F)(F)C[2*]
131,-37.610607,-6.101954,Reference,cdk8,[N*]CC[C@H](O)C[2*]~[N*]CCOCC[2*]
132,-10.019567,-16.150831,Reference,cdk8,[c*]C(=O)N1CC[C@H](O)C1~[c*]c1nccn1C
133,21.653528,-7.8487206,Reference,cdk8,[CH*]O~[C*]F.[C*]F
134,-62.794834,46.637535,Reference,cdk8,[c*]C(=O)N1CC[C@H](O)C1~[c*]NCCNC(C)=O
135,-1.8379284,5.4944205,Reference,cdk8,~
136,-19.732454,-7.062213,Reference,cdk8,[c*]C(=O)N1CC[C@H](O)C1~[c*]c1cc(N)ccn1
137,-5.286698,38.65501,Reference,cdk8,[c*]c1cnn(C)c1~[c*]:cnn(:[2*])C
138,21.368372,17.407557,Reference,cdk8,[C*]N1CC[C@H](O)C1~[C*]NC
139,4.4311967,58.184284,Reference,cdk8,[N*]C(C)=O~[N*]S(C)(=O)=O
140,-38.061287,39.391712,Reference,cdk8,[c*]NC(C)=O~[c*]C(=O)N1CCCCC1
141,-39.09428,36.590515,Reference,cdk8,[c*]NC(C)=O~[c*]C(=O)N1CC(OC)C1
142,-16.232931,26.384907,Reference,cdk8,[c*]NC(C)=O~[c*]N1CCOCC1
143,-62.513924,42.058628,Reference,cdk8,[c*]NC(C)=O~[c*]C(=O)NC.[C*]C(C)(C)O
144,-61.41294,41.870277,Reference,cdk8,[c*]NC(C)=O.[c*]c1cnn(C)c1~[c*]C(=O)NC.[c*]C
145,-61.358475,40.294655,Reference,cdk8,[c*]NC(C)=O.[c*]c1cnn(C)c1~[c*]C(=O)NC.[c*]OC.[c*]OC
146,16.679329,-54.89672,Reference,cdk8,[c*]NC(C)=O~[c*]N1CCCC1=O
147,-8.005527,44.190968,Reference,cdk8,[c*]NC(C)=O.[c*]c1cnn(C)c1~[c*]C(=O)NC.[c*]:n(C)nc:[3*]
148,11.495003,54.626682,Reference,cdk8,[c*]NC(C)=O~[c*]S(=O)(=O)NC1CC1
149,-13.635805,-16.500284,Reference,cdk8,[c*]NC(C)=O~[c*]c1cn(C)cn1
150,-38.023563,39.358456,Reference,cdk8,[c*]NC(C)=O~[c*]C(=O)N1CCCC1
151,-35.767437,42.129597,Reference,cdk8,[c*]NC(C)=O~[c*]C(=O)N1CC(F)(F)C1
152,-37.769356,40.844128,Reference,cdk8,[c*]NC(C)=O~[c*]C(=O)N1CCOCC1
153,-10.019567,-16.150833,Reference,cdk8,[c*]NC(C)=O~[c*]c1nccn1C
154,-35.25736,41.35623,Reference,cdk8,[c*]NC(C)=O~[c*]C(=O)N1CCC(F)(F)C1
155,-61.29527,41.65304,Reference,cdk8,[C*]=O~[C*]NC(C)=O
156,-36.713177,37.680374,Reference,cdk8,[c*]NC(C)=O~[c*]C(=O)N1CC[C@@H](O)C1
157,-19.732454,-7.062213,Reference,cdk8,[c*]NC(C)=O~[c*]c1cc(N)ccn1
158,-61.29527,41.65304,Reference,cdk8,[c*]NC(C)=O~[c*]C(=O)NC
159,-38.061108,39.391716,Reference,cdk8,[c*]NS(C)(=O)=O~[c*]C(=O)N1CCCCC1
160,-39.0941,36.5896,Reference,cdk8,[c*]NS(C)(=O)=O~[c*]C(=O)N1CC(OC)C1
161,-16.232931,26.384907,Reference,cdk8,[c*]NS(C)(=O)=O~[c*]N1CCOCC1
162,-62.514027,42.058964,Reference,cdk8,[c*]NS(C)(=O)=O~[c*]C(=O)NC.[C*]C(C)(C)O
163,16.679426,-54.89733,Reference,cdk8,[c*]NS(C)(=O)=O~[c*]N1CCCC1=O
164,11.494997,54.627003,Reference,cdk8,[c*]NS(C)(=O)=O~[c*]S(=O)(=O)NC1CC1
165,-13.635846,-16.500277,Reference,cdk8,[c*]NS(C)(=O)=O~[c*]c1cn(C)cn1
166,-38.02349,39.358402,Reference,cdk8,[c*]NS(C)(=O)=O~[c*]C(=O)N1CCCC1
167,-35.767517,42.129597,Reference,cdk8,[c*]NS(C)(=O)=O~[c*]C(=O)N1CC(F)(F)C1
168,-37.76909,40.84422,Reference,cdk8,[c*]NS(C)(=O)=O~[c*]C(=O)N1CCOCC1
169,-10.019547,-16.15082,Reference,cdk8,[c*]NS(C)(=O)=O~[c*]c1nccn1C
170,-35.25792,41.357014,Reference,cdk8,[c*]NS(C)(=O)=O~[c*]C(=O)N1CCC(F)(F)C1
171,-62.409786,47.06343,Reference,cdk8,[N*]S(C)(=O)=O~[N*]CCNC(C)=O
172,-36.71313,37.68111,Reference,cdk8,[c*]NS(C)(=O)=O~[c*]C(=O)N1CC[C@@H](O)C1
173,-19.7325,-7.062219,Reference,cdk8,[c*]NS(C)(=O)=O~[c*]c1cc(N)ccn1
174,-61.29527,41.65304,Reference,cdk8,[c*]NS(C)(=O)=O~[c*]C(=O)NC
175,-38.515095,15.451405,Reference,cdk8,[N*]CCCCC[2*]~[N*]CC(C[2*])OC
176,-16.232931,26.38491,Reference,cdk8,[c*]C(=O)N1CCCCC1~[c*]N1CCOCC1
177,13.04834,-24.618242,Reference,cdk8,[C*]N1CCCCC1~[C*]NC.[C*]C(C)(C)O
178,16.679325,-54.89688,Reference,cdk8,[c*]C(=O)N1CCCCC1~[c*]N1CCCC1=O
179,-3.802954,38.589138,Reference,cdk8,[c*]c1cnn(C)c1.[N*]CCCCC[3*]~[c*]:cnn(:[2*])C.[c*]CC(C[4*])OC
180,11.495002,54.627087,Reference,cdk8,[c*]C(=O)N1CCCCC1~[c*]S(=O)(=O)NC1CC1
181,-13.635734,-16.500277,Reference,cdk8,[c*]C(=O)N1CCCCC1~[c*]c1cn(C)cn1
182,-23.909918,-24.83445,Reference,cdk8,[N*]CCCCC[2*]~[N*]CCCC[2*]
183,-25.136332,1.5520099,Reference,cdk8,[N*]CCCCC[2*]~[N*]CC(F)(F)C[2*]
184,-37.610466,-6.1022797,Reference,cdk8,[N*]CCCCC[2*]~[N*]CCOCC[2*]
185,-10.019563,-16.150835,Reference,cdk8,[c*]C(=O)N1CCCCC1~[c*]c1nccn1C
186,-25.844107,1.0395434,Reference,cdk8,[N*]CCCCC[2*]~[N*]CCC(F)(F)C[2*]
187,-62.800705,46.640522,Reference,cdk8,[c*]C(=O)N1CCCCC1~[c*]NCCNC(C)=O
188,-14.143308,-2.8237393,Reference,cdk8,[N*]CCCCC[2*]~[N*]C[C@H](O)CC[2*]
189,-19.732454,-7.062213,Reference,cdk8,[c*]C(=O)N1CCCCC1~[c*]c1cc(N)ccn1
190,21.368383,17.407543,Reference,cdk8,[C*]N1CCCCC1~[C*]NC
191,-16.232931,26.384907,Reference,cdk8,[c*]C(=O)N1CC(OC)C1~[c*]N1CCOCC1
192,13.047518,-24.618021,Reference,cdk8,[C*]N1CC(OC)C1~[C*]NC.[C*]C(C)(C)O
193,16.679325,-54.89688,Reference,cdk8,[c*]C(=O)N1CC(OC)C1~[c*]N1CCCC1=O
194,-5.2867365,38.65515,Reference,cdk8,[c*]c1cnn(C)c1~[c*]:cnn(:[2*])C
195,11.495002,54.627087,Reference,cdk8,[c*]C(=O)N1CC(OC)C1~[c*]S(=O)(=O)NC1CC1
196,-13.635734,-16.500277,Reference,cdk8,[c*]C(=O)N1CC(OC)C1~[c*]c1cn(C)cn1
197,-23.90956,-24.834227,Reference,cdk8,[N*]CC(C[2*])OC~[N*]CCCC[2*]
198,21.902388,-7.4899673,Reference,cdk8,[C*]OC~[C*]F.[C*]F
199,-37.610466,-6.1027107,Reference,cdk8,[N*]CC(C[2*])OC~[N*]CCOCC[2*]
200,-10.019547,-16.15082,Reference,cdk8,[c*]C(=O)N1CC(OC)C1~[c*]c1nccn1C
201,-24.14271,1.5983553,Reference,cdk8,[N*]CC(C[2*])OC~[N*]CC(F)(F)CC[2*]
202,-62.801086,46.640373,Reference,cdk8,[c*]C(=O)N1CC(OC)C1~[c*]NCCNC(C)=O
203,-13.135699,-2.0265284,Reference,cdk8,[N*]CC(C[2*])OC~[N*]CC[C@@H](O)C[2*]
204,-19.7325,-7.062219,Reference,cdk8,[c*]C(=O)N1CC(OC)C1~[c*]c1cc(N)ccn1
205,21.368345,17.407568,Reference,cdk8,[C*]N1CC(OC)C1~[C*]NC
206,-62.513638,42.059036,Reference,cdk8,[c*]N1CCOCC1~[c*]C(=O)NC.[C*]C(C)(C)O
207,-23.60743,-24.645468,Reference,cdk8,[N*]CCOCC[2*]~[N*]CCCC([2*])=O
208,11.495002,54.626842,Reference,cdk8,[c*]N1CCOCC1~[c*]S(=O)(=O)NC1CC1
209,-13.635734,-16.500277,Reference,cdk8,[c*]N1CCOCC1~[c*]c1cn(C)cn1
210,-38.02349,39.358166,Reference,cdk8,[c*]N1CCOCC1~[c*]C(=O)N1CCCC1
211,-35.767517,42.129597,Reference,cdk8,[c*]N1CCOCC1~[c*]C(=O)N1CC(F)(F)C1
212,-37.768505,40.844128,Reference,cdk8,[c*]N1CCOCC1~[c*]C(=O)N1CCOCC1
213,-10.019567,-16.150833,Reference,cdk8,[c*]N1CCOCC1~[c*]c1nccn1C
214,-35.25836,41.35743,Reference,cdk8,[c*]N1CCOCC1~[c*]C(=O)N1CCC(F)(F)C1
215,-62.800705,46.640522,Reference,cdk8,[c*]N1CCOCC1~[c*]NCCNC(C)=O
216,-36.719055,37.68757,Reference,cdk8,[c*]N1CCOCC1~[c*]C(=O)N1CC[C@@H](O)C1
217,-19.7325,-7.062219,Reference,cdk8,[c*]N1CCOCC1~[c*]c1cc(N)ccn1
218,-61.295097,41.65335,Reference,cdk8,[c*]N1CCOCC1~[c*]C(=O)NC
219,21.368374,17.407549,Reference,cdk8,[C*]N1CC[C@H](O)C1.[c*]O~[C*]NC
220,-5.308793,38.638874,Reference,cdk8,[c*]O.[c*]O.[CH*]C~[c*]:cnn(:[4*])C.[c*]F.[C*]F
221,-18.293392,-14.095669,Reference,cdk8,[c*]O.[c*]O.[CH*]C~[c*]c1cnn(C)c1
222,-18.296164,-14.085866,Reference,cdk8,[c*]O.[c*]O.[CH*]C~[c*]c1cnn(C)c1.[C*]F.[C*]F
223,-18.293379,-14.095651,Reference,cdk8,[c*]O.[c*]C~[c*]c1cnn(C)c1
224,-5.2867365,38.65515,Reference,cdk8,[c*]O.[c*]C~[c*]:cnn(:[2*])C
225,-5.1408734,-34.68779,Reference,cdk8,[c*]c1cnn(CC(C)(C)O)c1~[c*]C
226,16.679325,-54.89688,Reference,cdk8,[c*]C(=O)NC.[C*]C(C)(C)O~[c*]N1CCCC1=O
227,-7.109084,43.836895,Reference,cdk8,[c*]c1cnn(CC(C)(C)O)c1~[c*]:n(C)nc:[2*]
228,-13.635846,-16.500277,Reference,cdk8,[c*]C(=O)NC.[C*]C(C)(C)O~[c*]c1cn(C)cn1
229,-13.152362,24.910141,Reference,cdk8,[C*]NC.[C*]C(C)(C)O~[C*]N1CCCC1
230,0.9000847,-25.336601,Reference,cdk8,[C*]NC.[C*]C(C)(C)O~[C*]N1CC(F)(F)C1
231,-16.232931,26.384907,Reference,cdk8,[C*]NC.[C*]C(C)(C)O~[C*]N1CCOCC1
232,-10.019618,-16.150835,Reference,cdk8,[c*]C(=O)NC.[C*]C(C)(C)O~[c*]c1nccn1C
233,1.4372358,-24.53473,Reference,cdk8,[C*]NC.[C*]C(C)(C)O~[C*]N1CCC(F)(F)C1
234,-3.907534,34.055496,Reference,cdk8,[C*]NC.[C*]C(C)(C)O~[C*]N1CC[C@@H](O)C1
235,-1.5049769,5.3656645,Reference,cdk8,[C*]C(C)(C)O~
236,-43.396793,17.038702,Reference,cdk8,[c*]C~[c*]OC.[c*]OC
237,-7.109084,43.836895,Reference,cdk8,[c*]C~[c*]:n(C)nc:[2*]
238,-4.3586807,39.852135,Reference,cdk8,[C*]NC.[c*]C~[C*]N1CC(OC)C1.[c*]:cnn(:[2*])C
239,-18.293392,-14.095669,Reference,cdk8,[c*]C~[c*]c1cnn(C)c1
240,-7.109084,43.836895,Reference,cdk8,[c*]OC.[c*]OC~[c*]:n(C)nc:[2*]
241,-18.293392,-14.095669,Reference,cdk8,[c*]OC.[c*]OC~[c*]c1cnn(C)c1
242,11.495002,54.627087,Reference,cdk8,[c*]N1CCCC1=O~[c*]S(=O)(=O)NC1CC1
243,-13.635846,-16.500277,Reference,cdk8,[c*]N1CCCC1=O~[c*]c1cn(C)cn1
244,-38.023537,39.358425,Reference,cdk8,[c*]N1CCCC1=O~[c*]C(=O)N1CCCC1
245,-35.766502,42.131092,Reference,cdk8,[c*]N1CCCC1=O~[c*]C(=O)N1CC(F)(F)C1
246,-37.7697,40.84418,Reference,cdk8,[c*]N1CCCC1=O~[c*]C(=O)N1CCOCC1
247,-10.019547,-16.15082,Reference,cdk8,[c*]N1CCCC1=O~[c*]c1nccn1C
248,-35.258217,41.356857,Reference,cdk8,[c*]N1CCCC1=O~[c*]C(=O)N1CCC(F)(F)C1
249,-62.800705,46.640522,Reference,cdk8,[c*]N1CCCC1=O~[c*]NCCNC(C)=O
250,-36.71905,37.688095,Reference,cdk8,[c*]N1CCCC1=O~[c*]C(=O)N1CC[C@@H](O)C1
251,-19.7325,-7.062217,Reference,cdk8,[c*]N1CCCC1=O~[c*]c1cc(N)ccn1
252,-61.29527,41.65304,Reference,cdk8,[c*]N1CCCC1=O~[c*]C(=O)NC
253,-4.3586807,39.852135,Reference,cdk8,[C*]NC.[c*]:n(C)nc:[2*]~[C*]N1CC(OC)C1.[c*]:cnn(:[2*])C
254,-5.4933505,37.615795,Reference,cdk8,[C*]NC.[c*]:n(C)nc:[2*]~[C*]N1CCC(F)(F)C1.[c*]:cnn(:[2*])C
255,-4.2501845,35.1491,Reference,cdk8,[C*]NC.[c*]:n(C)nc:[2*]~[C*]N1CC[C@H](O)C1.[c*]:cnn(:[2*])C
